type,priority,summary
0,2,Add additional transition states
0,2,Preserve cluster id blueprint name and blueprint revision in agent local disk
1,2,Agent should retry heartbeat message if controller did not receive the heartbeat
0,2,Remove agent entities beans from public schema xsd
1,2,Check for NN safemode during restarts
1,2,Dependency of templeton on hcat client
1,2,Remove import of mysql puppet module from manifest
1,2,Add check to verify jdk path after install
1,1,PHP Notice Undefined variable manifest in SOURCE FILE
1,2,Support filtering hosts based on discovery status
1,2,Alert table on the right needs to be tied visuallyverbally to the contextcontent it is displaying
1,2,Remove the word alert from all the Nagios alerts descriptions
1,1,Make the daemon names and other field names consistent
1,2,Enable LZO should show checkbox instead of text
1,2,Increase puppet agent timeout
1,2,Refactor puppet kick loop to easily change retries and timeouts
1,2,Support data cleanup if installation fails
1,2,Replace SOURCE FILE with SOURCE FILE
1,2,Uninstall support from UI
1,2,Remove Playground files from HMC
1,2,Support uninstall state in mysql modules
1,1,CLASS files as appropriate
1,2,Update hive config to enable authorization
1,2,Manage services section will have any empty section when no client only components installed
1,2,Init Wizard Advanced Config validation errors can be bypassed
1,2,Nagios Admin Contact should be checked to ensure it is always an email address
1,2,Templeton data on hdfs needs to be readable by all users
1,2,Update HDFS parameter configuration description
1,2,Cleanup of utilities
1,2,Fixup review and deploy rendering
1,2,Add link to uninstall on index page
1,2,Comment in SOURCE FILE
1,2,HTML being spewed in the CLASS page
1,2,Change the status message ERROR location so that it shows below the page summary box rather than above more better visibility
1,2,regionservers config in the hbase only has localhost in it
1,2,Upgrade to VERSION NUMBER
1,2,Externalize message resources for the welcome page Update styles on various pages
1,1,Uninstalls wipe flag should be correctly passed to puppet
1,2,Grid mount points page does not let one pass with only a custom mount point
1,2,Scale puppet master to large number of nodes
1,2,During any process in the cluster initialization wizard if the user goes back to the NUMBER Create Cluster tab the user is stuck
1,2,Dependencies should be added only during install phase
1,2,Provide a way to resume if browser SOURCE FILE closed during the deployinprogress
1,2,Redundant downloads even though the artifacts are already installed
1,2,Cluster status update needs to happen for all stages of installation wizard
1,2,Making METHOD more robust
1,2,Logging in case of error during uninstall needs to be fixed
1,2,Add flow control force redirects to appropriate pages based on cluster configuration status for better usability
1,2,Redesign master service assignment page so that it takes up less vertical space
1,2,Create lock file as part of rpm install
1,2,Package up the fonts subdirectory in the HMC RPM
1,2,Improve Service Management page and general popup styling
1,2,Mysql packages not being sent during install and uninstall
1,2,Uninstall does not handle component dependencies
1,2,On Single Node install when install all the components the recommended num for CLASS Tasks is too high
1,2,CLASS myid files not existent on ZK install
1,2,Add nodes fails to find node in db
1,2,Cannot uninstall the page hangs with the spinning icon
1,2,Manual config changes for nn get reset on stopstart from hmc
1,2,Completing successful add node takes one to initialize cluster page starting from scratch
1,2,Unify the top nav for both Monitoring and Cluster Management
1,2,Add rpm spec for hmc agent
1,1,Reset service back to original state after CONFIGURATION FILE
1,2,Improve style on error log popups
1,2,Reinstall of cluster after failure to install results in failure
1,2,Fix bug with jmx parsing on CLASS
1,2,Using service stop instead of killall for uninstall
1,2,Uninstall needs to update status for failure
1,2,Duplicate CONFIGURATION FILE CLASS
1,2,Post cluster installdeploy the URL CONFIGURATION FILE should be disabled
0,2,CLASS restart HMC message when nagiosganglia is on the hmc host
1,2,nagios shows service status critical if hbase is not installed
1,2,Add nodes page alerts removed in case of adding duplicate nodes
1,2,Fix hive stop to escape
1,2,CLASS Add Nodes update progress title and ERROR messages to reflect what it is actually doinghas done
1,2,Add missing JS file for making post cluster install Add Nodes work
1,2,Show the same welcome page to the user if the user starts configuring a cluster but has not started deploy yet
1,2,Add Node installs MySQL Server for Hive
1,2,Manage service needs a way to recover from terminated browser sessions
1,2,Service CONFIGURATION FILE screens should respect the CONFIGURATION FILE attributes set in CLASS table
1,1,make support for os check a bit more robust
1,1,Add VARIABLE as column in Hosts table
1,2,Fix node assignments not not allow slaves on master
0,2,Speed up page loadreload times
1,2,Support Resume For Add Nodes
1,2,Modify the router to force redirection to Add Nodes Progress popup
1,2,Fix puppet manifests for tarball downloads via rpms
1,2,update to fix the ganglia VARIABLE anchor problem
1,2,Fix oozie smoke test failure
1,1,Fix Advanced Config HDFS reserved space is in bytes Too many bytes to count
1,2,Create a spec file with less dependencies for HMC
1,2,Rpm naming needs to be corrected
1,2,Templeton configs for pig archive not correct in HMC
1,2,Puppet fails to install NUMBER JDK properly on NUMBER
1,2,Change os type check during node bootstrap to allow NUMBER or NUMBER nodes
1,2,Puppet agent install script should use correct epel repo
0,2,Add support to jump to a specified state in the wizard for development purposes
1,2,Update README to point to trunk
1,2,Remove YUI source files from SVN
1,1,Update documentation
1,2,Nagios install fails on NUMBER
1,1,Consolidate head tags for organization and combine CSS files for faster load
1,1,Puppet error Cannot reassign variable VARIABLE at VARIABLE
1,2,In Custom config for Nagios emails with multiple periods before the fails validation
1,2,Custom Config page do not allow form submission if there are clientside validation errors
1,2,special characters in hosts files created on some common windows editors causes issues
1,2,Rat compliance patch
1,2,Externalize the manager service name and point the Help link to a valid URL
1,2,License header for PHP files should use PHP comments not HTML comments
