type,priority,summary
0,2,add additional transition state
0,2,preserve cluster blueprint name blueprint revision in agent local disk
1,2,agent retry heartbeat message if controller do not receive heartbeat
0,2,remove agent entity bean public schema xsd
1,2,check nn safemode during restart
1,2,dependency templeton on hcat client
1,2,remove import mysql puppet module manifest
1,2,add check to verify jdk path after install
1,1,php notice undefined variable manifest in source file
1,2,support filtering host base on discovery status
1,2,alert table on right need to be tie visuallyverbally to contextcontent be display
1,2,remove word alert all nagios alert description
1,1,make daemon name field name consistent
1,2,enable lzo show checkbox instead text
1,2,increase puppet agent timeout
1,2,refactor puppet kick loop to easily change retrie timeout
1,2,support datum cleanup if installation fail
1,2,replace source file source file
1,2,uninstall support ui
1,2,remove playground file hmc
1,2,support uninstall state in mysql module
1,1,class file appropriate
1,2,update hive config to enable authorization
1,2,manage service section have empty section no client only component instal
1,2,init wizard advance config validation error can be bypass
1,2,nagios admin contact be check to ensure be always email address
1,2,templeton data on hdfs need to be readable all user
1,2,update hdfs parameter configuration description
1,2,cleanup utility
1,2,fixup review deploy render
1,2,add link to uninstall on index page
1,2,comment in source file
1,2,html be spew in class page
1,2,change status message error location show page summary box rather more well visibility
1,2,regionserver config in hbase only have localhost in
1,2,upgrade to version number
1,2,externalize message resource welcome page update style on various page
1,1,uninstall wipe flag be correctly pass to puppet
1,2,grid mount point page do not let one pass only custom mount point
1,2,scale puppet master to large number node
1,2,during process in cluster initialization wizard if user go back to number create cluster tab user be stick
1,2,dependency be add only during install phase
1,2,provide way to resume if browser source file close during deployinprogress
1,2,redundant download even though artifact be already instal
1,2,cluster status update need to happen all stage installation wizard
1,2,make method more robust
1,2,log in case error during uninstall need to be fix
1,2,add flow control force redirect to appropriate page base on cluster configuration status well usability
1,2,redesign master service assignment page take less vertical space
1,2,create lock file part rpm install
1,2,package font subdirectory in hmc rpm
1,2,improve service management page general popup styling
1,2,mysql package not be send during install uninstall
1,2,uninstall do not handle component dependency
1,2,on single node install install all component recommend num class task be high
1,2,class myid file not existent on zk install
1,2,add node fail to find node in db
1,2,can not uninstall page hang spinning icon
1,2,manual config change nn get reset on stopstart hmc
1,2,complete successful add node take one to initialize cluster page start scratch
1,2,unify top nav monitoring cluster management
1,2,add rpm spec hmc agent
1,1,reset service back to original state after configuration file
1,2,improve style on error log popup
1,2,reinstall cluster after failure to install result in failure
1,2,fix bug jmx parse on class
1,2,use service stop instead killall uninstall
1,2,uninstall need to update status failure
1,2,duplicate configuration file class
1,2,post cluster installdeploy url configuration file be disable
0,2,class restart hmc message nagiosganglia be on hmc host
1,2,nagios show service status critical if hbase be not instal
1,2,add node page alert remove in case add duplicate node
1,2,fix hive stop to escape
1,2,class add node update progress title error message to reflect what be actually doinghas do
1,2,add miss js file make post cluster install add node work
1,2,show welcome page to user if user start configure cluster but have not start deploy yet
1,2,add node install mysql server hive
1,2,manage service need way to recover terminate browser session
1,2,service configuration file screen respect configuration file attribute set in class table
1,1,make support os check bit more robust
1,1,add variable column in host table
1,2,fix node assignment not not allow slave on master
0,2,speed page loadreload time
1,2,support resume add node
1,2,modify router to force redirection to add node progress popup
