type,priority,summary
1,2,FileConfigureTest can't pass in Windows box
0,2,Throw Useful Exception on No TypeConverter Available
0,1,Most recent snapshot requires ActiveMQ
1,2,JMSXGroupID is not copied across ActiveMQ endpoints
0,2,enable polling via the http component
0,2,XPath namespaces configuration not possible through xml
1,1,URL link broken in org.apache.camel.Processor API doc
1,2,org.apache.camel.processor.UnitOfWorkWithAsyncFlowTest failure
0,1,New converter : Node -> Source
1,2,exception clause doesn't proceed with pipeline
1,2,the 1.2.0 release didnt' seem to include the javadocs or doc directory (or manual)!
1,2,Headers lost after XSLT processing
1,2,Fix performance counters
0,2,Upgrade geronimo-specs version to 1.1
0,2,Add getter method for routeCollection property in RouteBuilder class
0,2,cxf camel transport should support to register itself to the cxf bus automatically
1,2,[Spring integration] TheadType is missing in org/apache/camel/model/jaxb.index
1,2,[Spring integration] Bad urls in META-INF/spring.schemas
0,1,DeadLetterChannel - logging improvements when exchange handled by dead letter
1,2,NullPointerException in CXF routes when there is an endpoint between router and service CXF endpoints
0,2,support to set the aggregation stragey of multicastProcessor
0,2,MulticastRecipientList - recipient list that uses multicast processor
0,1,Remove tangle between impl and impl.converter
1,2,Multithreaded HTTP invocations doesn't work
1,2,DefaultParameterMappingStrategy doesn't load its defaults
1,1,spring-2.5.1.jar is twice in the camel distro
1,2,bad content length header value in http response
0,2,Mail component is missing some configuration possibilities
1,2,Mina TCP does not support InOut pattern
0,1,Synchronous mode should handle exceptions being thrown from MINA
0,2,camel-mina: allowing the lazy creation of a connection
1,2,camel-cxf component can't deal with the exception message in MESSAGE dataFormat
1,1,SftpConsumer is not connecting and retrieving remote files
0,1,Mina Producer should have configurable timeout
1,2,HttpBinding.writeResponse doesn't set the response status code (i.e. it's always 200)
0,1,camel-mina improvements
1,2,Support for a full customized soap-fault incl. fault-code and detail
0,2,Parallel processing route
0,1,Improve logging for camel-mina
0,2,MinaProducer waits for MINA worker thread to timeout when stopping JVM from standalone client
1,1,Javadoc warnings
1,2,Exception handling of the ErrorHandlerSupport class
0,1,Improve FTP component wiki documentation
0,2,splitter() should have the same parallel processing functionality that multicast() has
0,1,Improve File component wiki
0,1,Upgraded to OpenJPA 1.0.2
1,2,Invalid jar in binary distribution
1,1,Camel should raise an exception if parsing of xslt file fails
1,2,file endpoint with noop=true does not detect old files moved into a directory
1,2,camel-core does not compile on HP-UX
0,2,make it easier to create Endpoint instances nicely via Spring XML
1,2,JMX Connector is not closed by InstrumentationAgentImpl.doStop()
