type,priority,summary
1,2,Network Server Protocol error when select fails and 'order by' is specified
1,1,NPE when trying to create a database at a directory that is not allowed
1,2,Make LOCKS as non-reserved keyword in Derby since it is not a reserved keyword in the SQL standards
0,2,When using encryption  do not store the length information about the external key in service.properties
0,2,Support for like ? Escape ?
0,2,Request support for CAST() in Like clause
1,2,NPE when creating a trigger on a table and default schema doesn't exist.
1,1,RunSuite summary rounds incorrectly
1,2,dblook displays message keys instead of their associated text
1,2,Lock not being released properly  possibly related to occurence of lock escalation
0,2,Add support for insert functionality using JDBC 2.0 updatable resultset apis
0,1,[PATCH] Improvements on the NetServlet
1,2,Suite jdk14 is skipped incorrectly with J2SE 5.0
1,2,Derby incorrectly rounds double values down during insert into NUMERIC
1,2,Aliased Columns not recognized after 'group by... order by' combination
1,1,Network Server Gives NPE if SQLException has null arguments   (e.g. for ERROR XBM0H)
1,2,Derby should throw a truncation error or warning when CASTing a parameter/constant to char or char for bit datatypes and the data is too large for the datatype.
0,2,in place table/index compress which returns space to OS
1,2,Bad Eclipse plugin version specification
0,2,Inserting values in an identity column
1,2,For the concurrency of ResultSet  Network Server should not send the concurrency of Statement.
1,2,setNull does not work with java.sql.Types.TIMESTAMP
1,1,Parameter names required in CREATE FUNCTION
1,1,List of jar files in tools/java incorrect in BUILDING.txt
1,2,isFirst() returns true when relative(x) goes beyond result set
0,1,Add Support for network Server USRIDONL security
1,2,setNull(x JDBCType.DATE) does not work when batching is turned on
0,1,Optimize some specific methods in Network Server to improve performance
0,1,Javadoc build should include a timestamp and/or the svn revision number in a visible location.
1,2,Column names on ResultSet.updateXXX and getXXX methods are handled incorrectly
1,1,'Schema already exists' when creating a table
0,1,'FOR UPDATE' required for updatable result set to work
0,1,Fix copyright notices and other IBM/Cloudscape references in java/demo/*
1,1,Testharness: testEncryptionAlgorithm property is not being picked up correctly for some encryption suites
0,2,Need a online backup feature  that does not block update operations   when online backup is in progress.
0,1,connection toString should uniquely identify the connection
0,1,Network Server demo program should support Derby network client driver
1,1,Builds fail during splitmessages step if path contains spaces
1,1,test tools/dblook_test.java fails if run in a directory having '*derby/*' in its path
0,2,Provide some way to update index cardinality statistics (e.g. reimplement update statistics)
1,1,testing/README.htm property descriptions: testSpecialProps wrongly named; useprocess omitted
1,2,SYS.SYSCOLUMN problem with 'GENERATED BY DEFAULT' column w/ Network Server
1,2,Remove resultSetHoldability property from ClientDataSource
1,1,AES encryption test fails on Solaris 10
1,1,Many files do not have correct svn-properties
1,2,Network client XA should only keep XA state for transaction branch association  to track whether to send commit in autocommit mode.  All other state and state related decisions should be deferred to the server.
1,1,example.html file for the SimpleApp does not describe the arguments accepted by the program
1,1,setByte() with executeBatch causes hang with client if mapping is invalid  e.g. setByte to DATE
1,2,It is desirable to have IDENTITY_VAL_LOCAL() function return last recent user specified value or system generated value for BY DEFAULT identity columns.
1,2,Unknown page format  error  while doing recovery after a  a crash while doing  in place compress.
1,2,Specification of incomplete server properties on command line causes NPE with NetworkServerControl when starting the server.
1,1,servlet Back to Main Page link points to csnet instead of derbynet
1,1,SimpleNetworkClientSample.java network server example has an error which causes it to fail
1,2,With Network Server Database hangs after some time with many connections executing prepareStatement()
1,1,Disable creating indexes on long varchar for bit data. Long varchar column doesn't allow creating indexes already.
0,1,Network client message strings not internationalized
1,2,Client DataSource should not require user property to be set
1,1,sysinfo with -cp client option should not print error saying DB2 jar file and driver class are missing
0,2,Create a new sample database for use in examples in the manuals
1,1,Queryplan for a query using SESSION schema view is incorrectly put in statement cache. This could cause incorrect plan getting executed later if a temp. table is created with that name.
1,2,Passing the return of  a RETURN NULL ON NULL INPUT function to another function call throws linkage error.
1,1,Error message  X0X07  has incorrect property name  db2j.database.classpath instead of derby.database.classpath
1,1,SecurityException or LinkageException thrown during loading a class from a database jar incorrectly shuts the engine down.
1,2,DatabaseMetaData.getColumns() fails on iSeries JDK 1.4 with verfier error on generated class.
1,2,Result set holdability defined inside stored procedures is ignored by server/client
0,2,Expose BOOLEAN datatype to end users
1,1,SELECT DISTINCT returns duplicates when selecting from subselects
0,2,Integrate upgrade tests into test suite
1,2,getAsciiStreamshould replace non-ASCII characters with 0x3f  '?'  to match embedded
1,2,Incorrect insane build on windows platform
1,2,ClientDriver ignores Properties object in connect(String url  Properties connectionProperties) method
1,1,The current build.properties for the Derby Help Plug-in for Eclipse does not work for creating a deployable plug-in
1,2,Loading databases from jars in the classpath is broken  databases cannot be found.
1,1,Read-only databases fail to boot after soft upgrade. Raises error message:  40XD1: Container was opened in read-only mode.
1,2,Dynamic parameter should be allowed to be the operand of unary operator '-'. Derby throws exception 42X36: The '-' operator is not allowed to take a ? parameter as an operand.'
1,2,Using derby.language.logStatementText=true can mask certain exceptions and lead to incorrect behavior in some cases
1,2,SYSCS_UTIL.SYSCS_INPLACE_COMPRESS_TABLE fails on (very) large tables
1,2,Make the client driver connection URL work when spaces are in the URL.
1,1,sysinfo incorrectly requires permission on Derby jar files
1,1,Derby monitor accesses two system properties without using a privileged block when built sane=true
1,2,create trigger fails with null pointer exception
1,2,Subquery materialization can cause stack overflow
1,2,Network driver setTransactionIsolation() causes a commit  but does not complete it locally
0,1,SELECT MAX doesn't use indices optimally
1,2,getImportedKeys returns duplicate rows in some cases
1,2,SecurityException with accessDeclaredMembers on DatabaseMetaData.getTables.
1,2,during crash recovery of a drop table  on case insensitive files systems derby may delete wrong file
0,1,Remove backup(File ...) methods
1,1,Build-time processing of 'metadata.properties' file handles slashes incorrectly.
1,2,In ij  executing a prepared statement with numeric/decimal parameter fails with NullPointerException in J2ME/CDC/FP
1,1,Add tests for error codes for severe exceptions
1,1,NullPointerException or ClassCastException if UPDATE or DELETE is performed on a diagnostic VTI
1,2,Network client: deleteRow() makes getter methods return nulls for the following rows.
1,2,Unable to create databases whose name containg Chinese characters through the client driver
0,2,Starvation in RAFContainer.readPage()
0,1,SYSCS_UTIL.SYSCS_COMPRESS_TABLE should create statistics if they do not exist
1,1,Problem setting sanity state to false by using 'ant -Dsane=false'
0,2,Materialize subqueries in select list where possible to avoid creating invariant resultsets many times.
0,2,Enhance ALTER TABLE syntax to allow users to change the next value to be generated for an identity column
1,2,cursor closed as a sideeffect of closing another cursor with the same name on another connection
0,2,Allow parallel access to data files.
0,1,One each deleted or updated from a heap row a new RowPosition object is created.
1,1,Incorrect documentation for 'NetworkServerControl.logConnections(boolean)'
0,1,Client driver: Pre-fetch data on executeQuery()
0,1,modify setCharacterStreamInternal to take a long for the length  and perform the > max int check in the method
1,2,LDAP user authentication fails under a security manager
1,1,Intermittent failure of store/readlocks.sql
1,1,add mechanism for specifying policy file for individual function tests
1,2,Remove use of String(byte[]) and String(byte[]  int  int) constructors in testing leading to non-portable behaviour
1,2,big decimal error diff in derbyall lang/procedure test run in the DerbyNetClient - jdk1.3 specific
0,2,introduce a new test type to run junit tests from the current harness
0,2,new JDBC4 metadata API getFunctions() needs to be implemented
1,1,NullPointerException at ResultSet.close() time for simple query using UNION and INTERSECT
1,1,Error 22001 can include 'XX-RESOLVE-XX' which should be removed
1,1,DatabaseMetadata method supportsResultSetConcurrency returns wrong result on network client
1,2,creating a preparedStatement outside of a Global tran using a ClientXADatasource  will result in an 'SqlException: Cannot set holdability'  if the statement  is used in a Global transaction
1,1,tests derbynet/csPrepStmt and prepStmt use mechanisms that are not portable over encodings
1,1,unit/daemonService.unit fails intermittently: 'ran out of time'
1,1,store/access.sql fails - incorrect index?
1,1,tests jdbcapi/SURTest.junit and jdbcapi/SURQueryMixTest.junit run twice in derbynetclientmats
1,1,Optimizer can return incorrect 'best cost' estimates with nested subqueries  which leads to generation of sub-optimal plans.
1,2,Embedded ResultSet.getStatement() does not return the Statement object that created it  for a connection returned from EmbeddedXADataSource
1,1,new test lang/ShutdownDatabase.java fails with j2ME
1,2,forupdate.sql   holdCursorIJ.sql ..etc are failing when run with 10.1 client againest trunk
1,1,JVMInfo is duplicated in derbyclient.jar
1,2,test jdbcapi/checkDataSource30 and savepointJdbc30_XA fail with remote server with security exceptions
1,1,Security.AccessControlException in client under SecurityManager when trying to connect using EUSRIDPWD security mechanism
0,1,Change the internal implemetation of SYSCS_INPLACE_COMPRESS_TABLE to share existing alter table
1,2,Delete cascade causes NULL values inserted into table when after delete Trigger fires
1,1,Misleading/wrong error message while dropping a view
1,2,Derby fails inserting a join into a table with a generated column
1,1,Test harness does not pass jvm flags properly if there are more than 1 property in jvm flags
1,1,ResultSet.getHoldabilty will return incorrect value when the ResultSet is obtained from a procedure call
1,2,For existing databases JDBC metadata queries do not get updated properly  between maintenance versions.
1,2,transaction logs files requried for recovery are getting deleted when backup and checkpointas are running in parallel.
1,2,client gives SqlException for test callable.java and parameterMapping.java on zOS
1,1,jdbc4/TestDbMetaData.java fails because of changes in SQLException text
1,2,compatibility tests fail with security related errors.
1,2,Truncation Error with Concat
1,2,With client PooledConnection.getConnection() does not reset holdability and isolation state properly
1,2,Failures in sysinfo and sysinfo_withproperties induced by classpath wiring
1,1,derbynet/testSecMec.java fails with Sun JDK 1.3
0,2,Separate XAResource from EmbedXAConnection
0,1,allow the encrypting of an existing unencrypted db and allow the re-encrypting of an existing encrypted db
0,1,Helper methods in BaseJDBCTestCase for creating data sources
1,1,PreparedStatement.executeUpdate throws a XJ05C exception in a global transaction if the statement is HOLD_CURSORS_OVER_COMMIT
1,1,NullPointerException in network server with LDAP authentication
1,1,defragment of inplace compress pass for described dataset is not freeing up empty pages.
1,1,Network Server reports wrong product name when logging connections to derby.log
1,1,Derby Server and Administration Guide - Servlet interface - Running page
0,1,ij should have a --help option to print command line syntax
1,1,jdbcapi/checkDataSource.java and jdbcapi/checkDataSource30.java hang intermittently with client
0,1,Remove the huge log files (TesterN.out) left from running 'stress/stress.multi'
1,2,LIKE does not match empty strings when used with a prepared statement
0,2,Move isPoolable() and setPoolable() from PreparedStatement to Statement
0,2,Verify that applications can't manipulate the transaction state while inside a distributed transaction.
1,2,Assert failure in BasePage.shiftUp() when running store/onlineBackupTest4.sql
1,1,Old clients with new server return wrong database metadata values for some methods
1,2,XAConnection uses NetConnection as underlying physical connection for JDBC4/Java 1.6
0,2,Implement new JDBC4 methods for creating empty LOBs in the embedded client
1,1,Client: Attempted deleteRow or updateRow while on insert row gives wrong error message
1,2,Network Server does not shutdown the databases it has booted when started and shutdown from the command line
0,1,Calling ResultSet.isLast() on a scrollable insensitive resultset  causes the entire ResultSet to be populated
1,1,Resolve test failures with JCC2.8
1,1,Tests jdbcapi/HoldabilityTest.junit  jdbcapi/UpdateXXXTest.junit jdbcapi/SURTest.junit fail on wctme5.7_foundation
0,2,SUR: Use DRDA's extended diagnostic to send ROW_UPDATED and ROW_DELETED warnings.
1,2,Differences between client and embedded when invoking stored procedures using Statement.executeUpdate()
