type,priority,summary
0,2,open Modal Window without AjaxRequestTarget
1,2,missing base64/ URL encoding
1,1,Wrong source paths in build.xml
1,1,WicketTester fails when calling clickLink on a ResourceLink to a mounted resource
0,2,Make debug settings session dependent
0,2,Support case insensitive mount paths
1,2,FormTester does not set request parameters for unchanged form fields
1,2,NPE in Check.java
0,1,Russian Application.properties
0,2,extract IPageMap interface from PageMap
1,1,Lazy-registration fails for mounted resources.
0,1,Remove RequiredTextField from 2.0
1,2,NullPointerException after deserialize wicket.util.concurrent.CopyOnWriteArrayList
1,2,wrong handling of exceptions for Resource#respond and ComponentResourceRequestTarget#respond
1,2,mounted URLs fail if filterPath is blank
0,2,set session locale when constructing session object
0,2,Access to init parameters through getServletContext.getInitParameter() not working
0,2,Extend cases where the exception can be ignored due to an aborted request
0,2,Default code for popups should always try to bring the popped up window to the top (focus)
1,1,While testing with FormTester: onSelectionChanged is not being invoked if DropDownChoice is enabled for notifications
0,2,table background='foo' url prefixing
1,2,Component reAttach and versioning
1,1,Uncaught exception guesing urls using CryptedUrlWebRequestCodingStrategy
1,2,creating a mountBookmarkablePage with PageMap
1,2,Removing comments from markup can fail
1,2,NPE in RequestLogger?
1,2,WicketServlet deprecation and WicketFilter
1,1,Allow to set field values before submitting a form with Ajax in WicketTester
1,1,pallete: ' is missing in HTML
1,2,Calls to enabled and visibleInHierarchy should not be done in component resolving.
1,2,EmailAddressPatternValidator does not correctly identify TLDs with more than 3 letters
0,2,Remove IRequestTarget.getLock and the synchronize blocks using it
1,2,PackageRequestTargetUrlCodingStrategy should interrupts the cycle and sends a 404 when a page/class cannot be found.
0,1,Translation for Czech language
1,1,AjaxEditableLabel on setModel does not update the labels model only the editors
0,2,Download link does not set Content-Type and Content-Length headers
1,2,CheckBox incorrectly converts its model value when a custom Boolean converter is installed
1,2,Inheritable model cannot be a wrap model
0,1,clock component doesn't display seconds in some Locales
1,2,BookmarkablePageLink only sets the target attribute when it exists in the markup
0,2,Add ability to manage disabled items from subclasses of AbstractChoice
0,2,@SpringBean support of non-singleton beans
1,2,Some components miss localization (NavigatorLabel  Palette)
1,2,Converter misusage/mangling in RadioChoice
0,1,[Patch] do not serialize choices and select in palette.
1,2,Wicket.Focus code utterly breaks AjaxEditableLabel
1,1,DropDownChoice  empty Model wrong default encoding of special chars
1,2,Using Borders with Markup Inheritance causes component resolution failures
0,1,Handle / servlet mapping or fail consistenly
0,2,Be able to add string arrays to configuration of DatePicker
1,2,Ajax requests don't detach component models
1,2,NullPointerException in MarkupFragmentFinder.find()
0,1,improved reporting on locked page maps
1,2,mvn jetty:run; maven-jetty-plugin not configured
1,2,Add global override to disable gzip compression (SAP double-compresses).
1,2,Feedback is not cleaned up upon AJAX-requests
0,2,Investigate whether we can use component meta data for the storage of feedback messages
1,2,JavaScript comment stripping doesn't handle regexps
0,2,Change name of IFormProcessingListener
1,2,ModalWindow does not function under Opera
0,1,Better error message for problematic configuration
0,2,HeaderContributions are missing if  is a Component.
1,2,Use WebRequestEncoder everywhere a query string is constructed
1,2,LocalizedImageResource escapes ampersands twice (regression)
1,1,tests should be test
1,1,WicketTester does not bind created Session to SessionStore
1,1,TimeOfDay.next(Calendar) can return time on same day rather than next day
1,2,AbstractTextComponent#setConvertEmptyInputStringToNull(true) does not work with IObjectClassAwareModels (affects TextField  etc.)
1,1,HeaderContributor forces relative URL
1,2,Prototype scoped Spring beans
1,1,WicketFilter tries to call setClassLoader() even if it's not changing the default - doesn't work on strict SecurityManagers.
1,2,Resource.getParameters() empty when resource is mounted
0,1,wicket-examples grey-on-white colour scheme is very hard to read
0,1,wicket-examples source code view is not resizable
0,1,fire onchange event of associated component after date selection
0,2,enhance ichoicerenderer with id->choice object lookup
1,2,[PATCH] remove XX in firefox and palette
0,1,AjaxEditableLabel needs Model for adding a IValidator
0,1,DateTextField is too session-heavy
1,2,ReloadingWicketFilter not working with markup inheritance
1,1,Border.resolve() should not attempt to render contents if bodyVisible is false
1,2,If the model is List  PropertyResolver doesn't try to find fields.
1,2,AjaxEditableChoiceLabel doesn't work
1,1,Invoking a request listener on a page returns an Expired Error page
0,1,Unable to remove an IFormValidator from a Form
0,2,make getConvertedInput final again and remove final from convert  which should be renamed to convertInput
0,2,make default maximum upload size an application setting
0,2,WicketTester cause SerializableChecker$WicketNotSerializableException
1,2,WicketTester could not handle Multipart form without upload
1,2,OnChangeAjaxBehavior does not work with  when using Safari
0,1,Qualified resource key should take priority over unqualified one
1,1,setVisible(false) on Page throws NPE
1,2,ServletWebRequest.getRelativePathPrefixToContextRoot generates wrong relative path if current page has URL-encoding in the params.
0,2,add support for localization
0,2,Disable line-precise exceptions for component use check
1,2,default pagemap name of null is not always properly encoded into the url
1,1,Select doesn't validate 'Required'
0,1,Easy access to final rendered page source
1,2,setresponsepage() does not properly redirect from ajax requests
0,1,upgrade to SLF4J to version 1.4.2
1,2,MockHttpServletRequest.addFile does not work with binary files
1,2,Empty content inserted into Border - throws ugly exceptions
1,2,Session id encoding problem in cookie-less mode
1,1,No scrolling behaviour of source code viewer in IE 6
1,2,Ajax refresh fails when a fragment is included in the target
0,1,Use -DpackageName if it is specified
1,2,AjaxFormChoiceComponentUpdatingBehavior not working
1,2,More problems with ajax and transparent containers
1,1,Javadocs for AbstractDefaultAjaxBehaviorPrecondition#getSuccessScript() and #getPreconditionScript() are swapped
1,2,DateField's/ DateTimeField's factory methods should pass in ids
1,1,NumberFormatException with UrlCompressingWebRequestProcessor in WicketTester
1,2,HttpServletResponse.encodeRedirectURL() missing in WicketFilter
1,2,Markup hirarchy gets messed up when value of  attribute 'background' is a relative path
1,2,Typo in org.apache.wicket.markup.html.tree.res.tree.js causes AJAX tree node addition failures
0,1,Option to align DatePicker to the left of icon
0,2,Add class or id to AjaxFallbackDefaultDataTable elements (NavigationToolbar  etc.) to facilitate CSS styling
1,2,InlineFrame with null PageMap raises exception
1,2,Unable to find InlineFrames when inside ListViews
1,2,If a form includes a DataTable with AjaxEditableLabels and the form should be refresh an exception occurs when a user switches between a changed label to another
1,2,WicketServlet no longer sets application on current thread
1,2,There is no way to specify what exceptions to log in RequestCycle
1,1,onBeforeRender not called on ModalWindow contents
1,2,Tree not 'redrawn' when resetting root node
1,1,inconsistent state after setting AjaxDebugModeEnabled to true in an AjaxRequest
0,1,Minor patch in polish translation
1,2,embedded jetty configuration stops working on beta3
1,1,BaseWicketTester support for SubmitLink
1,2,WebRequestCodingStrategy is not synchronized
1,2,Default button does not provide button name
1,1,FilteredAbstractColumn unary constructor expects Model instead of IModel
1,2,Static Pages -> Passing URI to a Wicket page == 404 Error
0,1,Wicket Javadoc Standardization: org.apache.wicket.util.value
1,2,StringIndexOutOfBoundsException in ServletWebRequest.getRelativePathPrefixToWicketHandler
1,2,[PATCH] Javascript error in IE7 when selecting a date
1,1,Text not visible in Wicket Ajax Debug window
1,1,setEnabled() does not work on YUI DateField
0,1,Fix a TODO for 1.3 at AjaxFormSubmitBehavior.onError()
0,1,javadoc typos
1,2,FeedbackMessages don't get cleaned up in an AJAX request when renderstrategy is REDIRECT_TO_RENDER
1,2,StyleSheetReference doesn't take style/locale into account
0,1,Wicket Javadoc Standardization: org.apache.wicket.util.thread
0,1,Wicket Javadoc Standardization: org.apache.wicket.util.tester
0,2,Remove final from WebRequestCodingStrategy. urlCodingStrategyForPath
0,1,Correct javadoc for Fragment
0,1,Missing img alt attribute in WicketAjaxIndicatorAppender
0,2,Extending PagingNavigator for stateless pages
1,2,DateTextField.setEnabled() is not propagated to attached DatePicker
1,2,Problem closing a ModalWindow when used through an IFrame
1,2,AjaxEditableLabel: defaultNullLabel() should really be a defaultNullorEmptyLabel()
1,1,XHTML validation failure for DatePicker
0,1,Change log in Form.handleMultiPart() from error to warn
1,2,AbstractTree utilizes Collections.EMPTY_LIST for a node's children container which causes errors when adding children
0,1,add sanity check on form submit for request method
0,1,Tolerate malformed If-Modified-Since header
0,2,IDataProvider-Overflow with size()
1,1,AjaxEditableLabel and AjaxMultiLineEditableLabel do not honour enabled status
1,2,Ajax Memory Leak in IE
0,1,i18n: Translation of resource files in Korean
1,2,NPE in IndexedHybridUrlCodingStrategy during encoding
1,2,false positive or wrong unit tests unit tests when ajax is involved
0,2,Use X-Forwarded-For header for getting the IP address of the client in WebClientInfo
0,2,upgrade to YUI 2.4.0
0,2,WicketTester recreates session after setting attributes on it
1,2,Inside a html tag wicket:message's attribute cannot contain colon : in it  it uses the first colon and tokenizes the rest to be the resource_identifier. Need some way to use colon in the attribute name.
1,2,Temporary files not deleting when multipart upload fails with IO error
1,2,java.lang.IllegalAccessError when changing AjaxEditableLabel
1,1,assertComponentOnAjaxResponse does not work with WicketTester.clickLink
1,2,NPE in ListMultipleChoice.updateModel()
1,2,Script in RenderHead method of AjaxFormChoiceComponentUpdatingBehavior needs fixing
0,1,Allow to query component markup id without creating one
0,1,Report last focused element id on ajax request
0,1,Make Cookie-Detection possible without JavaScript
1,1,WicketTester Doesn't Support setDefaultFormProcessing(false)
0,1,Improve SelectOptions: allow customization of created SelectOption objects
0,1,HybridUrlCodingStrategy should throw a PageExpiredException if a RequestListenerInterface is targeted on a non-existent page-id/version
0,2,Make substitutePropertyExpressions() in Localizer overridable
1,2,AbstractTextComponent requires itself to be rendered before conversion happens
1,2,DateTimeField does not correct the timezone properly
1,1,Javadoc error in QueryStringUrlCodingStrategy
1,2,AbstractPageableView has transient cachedItemCount  but doesn't set it to -1 on deserialization.
1,2,AjaxFormChoiceComponentUpdatingBehavior just updates the group 'grandchildren'
1,2,HybridUrlCodingStrategy and StatelessForm ( or StatelessLink ) results in invalid parameter encoding
0,1,BigDecimalConverter is not precise
1,2,AutoCompleteTextField's *scrollable* suggestion list disappeared when a mouse pointing to the scroll bar in IE6/7
1,2,Localizer doesn't honor style when caching property lookups
1,2,Having instance variables referencing pages causes memory leaks  StackOverflowErrors and ClassCastExceptions
0,1,Not all of SignInPanel is properly localized
1,2,MarkupCache can 'leak' memory
1,1,Input field with autocomplete behavior does not submit the form via enter key in some cases
1,1,AbstractCalendar use the wrong resources path
1,2,MiniMap IndexOutOfBoundsException when empty
1,2,'charset=UTF-8' is appended to Content-Type of  DynamicWebResources
1,2,bug: setObject(null) called for excplicitly invisible fields in a non-visible enclosure
1,1,AjaxSubmitLink doesn't always find enclosing form properly
1,2,Escaping DiskPageStore SessionFolder needed
1,2,FormComponent.error(ivalidationerror) error needs to show tried resource keys
1,2,StyleDateConverter does not use the components Locale when formatting.
1,2,External JAvascript references not included
0,1,CheckGroupSelector should implement ILabelProvider
0,2,Allow to change charset in StringRequestTarget
0,2,request to make RadioChoice getPrefix() and getSuffix() non-final
1,1,AuthenticatedWebApplication uses deprecated constructor of AuthenticatedWebSession
0,1,make setAfter/BeforeDisabledLink return 'this' for chaining
0,1,Make the Source Code pages for examples stateless
1,2,WicketTester.startPage(Class) does not trigger WebRequestCycle.onBeginRequest
1,2,WicketTester.clickLink(String) only triggers the WebRequestCycle.onEndRequest
1,1,Unable to use properties file when generating XML files
1,2,detach behavior
1,1,nested forms inside a multipart form can't be submitted via ajax
1,2,StreamCorruptedException/PageStore/Serialization broken because ObjectOutputStream was not flushed
1,2,Problem with ajax form submission inside model window in IE and Safari
0,2,Add downloadSources option to quickstart page
1,1,BaseWicketTester.isComponentOnAjaxResponse() test is too strong
1,1,Unusual ClassCastException (SimpleAttributeModifier to IBehaviorListener) processing onError.
0,1,Allow form to specify prefix for formcomponent names
1,1,DataTable.html does not validate (HTML 4.01/XHTML-Strict)
1,2,AjaxEditableMultiLineLabel + race condition /
1,2,MarkupCache.putIntoCache doesn't behave correctly!!
1,2,AutoCompleteTextField - javascript error 'type mismatch' in line 227 in IE
1,2,MarkupCache style/variation/locale support broken
1,2,Widen Generics for Lists/Iteratos
0,2,WicketAjaxIndicatorAppender rename to AjaxIndicatorAppender
1,2,NPE in EnclosureResolver
1,2,addDomReadyEvent unreliable for Safari
0,1,make AutoCompleteBehavior's configuration more flexible
0,2,Localizer API should be enhanced so that the cache implementation can be overwritten
