type,priority,summary
Improvement,Major,Add additional transition states
Improvement,Major,Preserve cluster id  blueprint name  and blueprint revision in agent local disk
Bug,Major,Agent should retry heartbeat message  if controller did not receive the heartbeat
Improvement,Major,Remove agent entities beans from public schema xsd
Bug,Major,Check for NN safemode during restarts
Bug,Major,Dependency of templeton on hcat client
Bug,Major,Remove import of mysql puppet module from manifest.
Bug,Major,Add check to verify jdk path after install
Bug,Minor,PHP Notice: Undefined variable: manifest in /usr/share/hmc/php/puppet/genmanifest/hostsConfig.php
Bug,Major,Support filtering hosts based on discovery status
Bug,Major,Alert table on the right needs to be tied visually/verbally to the context/content it is displaying
Bug,Major,Remove the word alert from all the Nagios alerts descriptions.
Bug,Minor,Make the daemon names and other field names consistent
Bug,Major,Enable LZO should show checkbox instead of text
Bug,Major,Increase puppet agent timeout.
Bug,Major,Refactor puppet kick loop to easily change retries and timeouts.
Bug,Major,Support data cleanup if installation fails.
Bug,Major,Replace index.php with clusters.php
Bug,Major,Uninstall support from UI
Bug,Major,Remove 'Playground' files from HMC
Bug,Major,Support uninstall state in mysql modules
Bug,Minor,Rename/Relocate files as appropriate
Bug,Major,Update hive config to enable authorization
Bug,Major,Manage services section will have any empty section when no client only components installed
Bug,Major,Init Wizard: Advanced Config validation errors can be bypassed
Bug,Major,Nagios Admin Contact should be checked to ensure it is always an email address
Bug,Major,Templeton data on hdfs needs to be readable by all users
Bug,Major,Update HDFS parameter configuration description
Bug,Major,Cleanup of utilities
Bug,Major,Fixup review and deploy rendering
Bug,Major,Add link to uninstall on index page
Bug,Major,Comment in addNodesWizardInit.js.
Bug,Major,HTML being spewed in the Review+Deploy page.
Bug,Major,Change the status message (success/error) location so that it shows below the page summary box  rather than above  more better visibility
Bug,Major,regionservers config in the hbase only has localhost in it
Bug,Major,Upgrade to yui-3.5.1
Bug,Major,Externalize message resources for the welcome page.  Update styles on various pages.
Bug,Minor,Uninstall's wipe flag should be correctly passed to puppet
Bug,Major,Grid mount points page doesn't let one pass with only a custom mount point
Bug,Major,Scale puppet master to large number of nodes.
Bug,Major,During any process in the cluster initialization wizard  if the user goes back to the '1 Create Cluster' tab  the user is stuck.
Bug,Major,Dependencies should be added only during install phase
Bug,Critical,Provide a way to resume if browser crashes/is closed during the deploy-in-progress
Bug,Major,Redundant downloads even though the artifacts are already installed
Bug,Major,Cluster status update needs to happen for all stages of installation wizard.
Bug,Major,Making transitionToNextStage more robust
Bug,Major,Logging in case of error during uninstall needs to be fixed.
Bug,Major,Add flow control - force redirects to appropriate pages based on cluster configuration status for better usability
Bug,Major,Redesign master service assignment page so that it takes up less vertical space
Bug,Major,Create lock file as part of rpm install
Bug,Major,Package up the fonts/ subdirectory in the HMC RPM
Bug,Major,Improve Service Management page and general popup styling
Bug,Major,Mysql packages not being sent during install and uninstall
Bug,Major,Uninstall does not handle component dependencies.
Bug,Major,On Single Node install when install all the components the recommended num for Map/Reduce Tasks is too high
Bug,Major,ZooKeeper myid files not existent on ZK install.
Bug,Major,Add nodes fails to find node in db
Bug,Major,Cannot uninstall - the page hangs with the spinning icon
Bug,Major,Manual config changes for nn get reset on stop/start from hmc
Bug,Major,Completing successful add node takes one to initialize cluster page starting from scratch
Bug,Major,Unify the top nav for both Monitoring and Cluster Management
Bug,Major,Add rpm spec for hmc agent.
Bug,Minor,Reset service back to original state after reconfiguration
Bug,Major,Improve style on error log popups
Bug,Major,Reinstall of cluster after failure to install results in failure
Bug,Major,Fix bug with jmx parsing on HBase.
Bug,Major,Using service stop instead of killall for uninstall
Bug,Major,Uninstall needs to update status for failure.
Bug,Major,Duplicate definition: Class[Hdp-hbase::Regionserver::Enable-ganglia]
