type,priority,summary
Bug,Major,FileConfigureTest can't pass in Windows box
Improvement,Major,Throw Useful Exception on No TypeConverter Available
Improvement,Minor,Most recent snapshot requires ActiveMQ
Bug,Major,JMSXGroupID is not copied across ActiveMQ endpoints
Improvement,Major,enable polling via the http component
Improvement,Major,XPath namespaces configuration not possible through xml
Bug,Trivial,URL link broken in org.apache.camel.Processor API doc
Bug,Blocker,org.apache.camel.processor.UnitOfWorkWithAsyncFlowTest failure
Improvement,Minor,New converter : Node -> Source
Bug,Major,exception clause doesn't proceed with pipeline
Bug,Major,the 1.2.0 release didnt' seem to include the javadocs or doc directory (or manual)!
Bug,Major,Headers lost after XSLT processing
Bug,Major,Fix performance counters
Improvement,Major,Upgrade geronimo-specs version to 1.1
Improvement,Major,Add getter method for routeCollection property in RouteBuilder class
Improvement,Major,cxf camel transport should support to register itself to the cxf bus automatically
Bug,Major,[Spring integration] TheadType is missing in org/apache/camel/model/jaxb.index
Bug,Major,[Spring integration] Bad urls in META-INF/spring.schemas
Improvement,Trivial,DeadLetterChannel - logging improvements when exchange handled by dead letter
Bug,Major,NullPointerException in CXF routes when there is an endpoint between router and service CXF endpoints
Improvement,Major,support to set the aggregation stragey of multicastProcessor
Improvement,Major,MulticastRecipientList - recipient list that uses multicast processor
Improvement,Trivial,Remove tangle between impl and impl.converter
Bug,Major,Multithreaded HTTP invocations doesn't work
Bug,Major,DefaultParameterMappingStrategy doesn't load its defaults
Bug,Trivial,spring-2.5.1.jar is twice in the camel distro
Bug,Critical,bad content length header value in http response
Improvement,Major,Mail component is missing some configuration possibilities
Bug,Major,Mina TCP does not support InOut pattern
Improvement,Trivial,Synchronous mode should handle exceptions being thrown from MINA
Improvement,Major,camel-mina: allowing the lazy creation of a connection
Bug,Major,camel-cxf component can't deal with the exception message in MESSAGE dataFormat
Bug,Minor,SftpConsumer is not connecting and retrieving remote files
Improvement,Minor,Mina Producer should have configurable timeout
Bug,Major,HttpBinding.writeResponse doesn't set the response status code (i.e. it's always 200)
Improvement,Minor,camel-mina improvements
