type,priority,summary
Bug,Major,Network Server Protocol error when select fails and 'order by' is specified
Bug,Minor,NPE when trying to create a database at a directory that is not allowed
Bug,Major,Make LOCKS as non-reserved keyword in Derby since it is not a reserved keyword in the SQL standards
Improvement,Major,When using encryption  do not store the length information about the external key in service.properties
Improvement,Major,Support for like ? Escape ?
Improvement,Major,Request support for CAST() in Like clause
Bug,Major,NPE when creating a trigger on a table and default schema doesn't exist.
Bug,Minor,RunSuite summary rounds incorrectly
Bug,Major,dblook displays message keys instead of their associated text
Bug,Major,Lock not being released properly  possibly related to occurence of lock escalation
Improvement,Major,Add support for insert functionality using JDBC 2.0 updatable resultset apis
Improvement,Minor,[PATCH] Improvements on the NetServlet
Bug,Critical,Suite jdk14 is skipped incorrectly with J2SE 5.0
Bug,Major,Derby incorrectly rounds double values down during insert into NUMERIC
Bug,Major,Aliased Columns not recognized after 'group by... order by' combination
Bug,Minor,Network Server Gives NPE if SQLException has null arguments   (e.g. for ERROR XBM0H)
Bug,Major,Derby should throw a truncation error or warning when CASTing a parameter/constant to char or char for bit datatypes and the data is too large for the datatype.
Improvement,Major,in place table/index compress which returns space to OS
Bug,Major,Bad Eclipse plugin version specification
Improvement,Major,Inserting values in an identity column
Bug,Major,For the concurrency of ResultSet  Network Server should not send the concurrency of Statement.
Bug,Major,setNull does not work with java.sql.Types.TIMESTAMP
Bug,Minor,Parameter names required in CREATE FUNCTION
Bug,Minor,List of jar files in tools/java incorrect in BUILDING.txt
Bug,Major,isFirst() returns true when relative(x) goes beyond result set
Improvement,Minor,Add Support for network Server USRIDONL security
Bug,Major,setNull(x JDBCType.DATE) does not work when batching is turned on
Improvement,Minor,Optimize some specific methods in Network Server to improve performance
Improvement,Minor,Javadoc build should include a timestamp and/or the svn revision number in a visible location.
Bug,Major,Column names on ResultSet.updateXXX and getXXX methods are handled incorrectly
Bug,Minor,'Schema already exists' when creating a table
Improvement,Minor,'FOR UPDATE' required for updatable result set to work
Improvement,Minor,Fix copyright notices and other IBM/Cloudscape references in java/demo/*
Bug,Minor,Testharness: testEncryptionAlgorithm property is not being picked up correctly for some encryption suites
Improvement,Major,Need a online backup feature  that does not block update operations   when online backup is in progress.
Improvement,Trivial,connection toString should uniquely identify the connection
Improvement,Minor,Network Server demo program should support Derby network client driver
Bug,Trivial,Builds fail during splitmessages step if path contains spaces
Bug,Minor,test tools/dblook_test.java fails if run in a directory having '*derby/*' in its path
Improvement,Major,Provide some way to update index cardinality statistics (e.g. reimplement update statistics)
Bug,Minor,testing/README.htm property descriptions: testSpecialProps wrongly named; useprocess omitted
Bug,Major,SYS.SYSCOLUMN problem with 'GENERATED BY DEFAULT' column w/ Network Server
Bug,Major,Remove resultSetHoldability property from ClientDataSource
Bug,Minor,AES encryption test fails on Solaris 10
Bug,Trivial,Many files do not have correct svn-properties
Bug,Major,Network client XA should only keep XA state for transaction branch association  to track whether to send commit in autocommit mode.  All other state and state related decisions should be deferred to the server.
Bug,Minor,example.html file for the SimpleApp does not describe the arguments accepted by the program
Bug,Minor,setByte() with executeBatch causes hang with client if mapping is invalid  e.g. setByte to DATE
Bug,Major,It is desirable to have IDENTITY_VAL_LOCAL() function return last recent user specified value or system generated value for BY DEFAULT identity columns.
Bug,Major,Unknown page format  error  while doing recovery after a  a crash while doing  in place compress.
Bug,Major,Specification of incomplete server properties on command line causes NPE with NetworkServerControl when starting the server.
Bug,Trivial,servlet Back to Main Page link points to csnet instead of derbynet
Bug,Minor,SimpleNetworkClientSample.java network server example has an error which causes it to fail
Bug,Critical,With Network Server Database hangs after some time with many connections executing prepareStatement()
Bug,Minor,Disable creating indexes on long varchar for bit data. Long varchar column doesn't allow creating indexes already.
Improvement,Minor,Network client message strings not internationalized
Bug,Major,Client DataSource should not require user property to be set
Bug,Minor,sysinfo with -cp client option should not print error saying DB2 jar file and driver class are missing
Improvement,Major,Create a new sample database for use in examples in the manuals
