type,priority,summary
Improvement,Major,open Modal Window without AjaxRequestTarget
Bug,Major,missing base64/ URL encoding
Bug,Minor,Wrong source paths in build.xml
Bug,Minor,WicketTester fails when calling clickLink on a ResourceLink to a mounted resource
Improvement,Major,Make debug settings session dependent
Improvement,Major,Support case insensitive mount paths
Bug,Major,FormTester does not set request parameters for unchanged form fields
Bug,Major,NPE in Check.java
Improvement,Trivial,Russian Application.properties
Improvement,Major,extract IPageMap interface from PageMap
Bug,Minor,Lazy-registration fails for mounted resources.
Improvement,Trivial,Remove RequiredTextField from 2.0
Bug,Major,NullPointerException after deserialize wicket.util.concurrent.CopyOnWriteArrayList
Bug,Major,wrong handling of exceptions for Resource#respond and ComponentResourceRequestTarget#respond
Bug,Major,mounted URLs fail if filterPath is blank
Improvement,Major,set session locale when constructing session object
Improvement,Major,Access to init parameters through getServletContext.getInitParameter() not working
Improvement,Major,Extend cases where the exception can be ignored due to an aborted request
Improvement,Major,Default code for popups should always try to bring the popped up window to the top (focus)
Bug,Minor,While testing with FormTester: onSelectionChanged is not being invoked if DropDownChoice is enabled for notifications
Improvement,Major,table background='foo' url prefixing
Bug,Major,Component reAttach and versioning
Bug,Minor,Uncaught exception guesing urls using CryptedUrlWebRequestCodingStrategy
Bug,Major,creating a mountBookmarkablePage with PageMap
Bug,Major,Removing comments from markup can fail
Bug,Major,NPE in RequestLogger?
Bug,Major,WicketServlet deprecation and WicketFilter
Bug,Minor,Allow to set field values before submitting a form with Ajax in WicketTester
Bug,Minor,pallete: ' is missing in HTML
Bug,Critical,Calls to enabled and visibleInHierarchy should not be done in component resolving.
Bug,Major,EmailAddressPatternValidator does not correctly identify TLDs with more than 3 letters
Improvement,Major,Remove IRequestTarget.getLock and the synchronize blocks using it
Bug,Major,PackageRequestTargetUrlCodingStrategy should interrupts the cycle and sends a 404 when a page/class cannot be found.
Improvement,Trivial,Translation for Czech language
Bug,Minor,AjaxEditableLabel on setModel does not update the labels model only the editors
Improvement,Major,Download link does not set Content-Type and Content-Length headers
Bug,Major,CheckBox incorrectly converts its model value when a custom Boolean converter is installed
Bug,Major,Inheritable model cannot be a wrap model
Improvement,Trivial,clock component doesn't display seconds in some Locales
Bug,Major,BookmarkablePageLink only sets the target attribute when it exists in the markup
Improvement,Major,Add ability to manage disabled items from subclasses of AbstractChoice
Improvement,Major,@SpringBean support of non-singleton beans
Bug,Major,Some components miss localization (NavigatorLabel  Palette)
Bug,Major,Converter misusage/mangling in RadioChoice
Improvement,Minor,[Patch] do not serialize choices and select in palette.
Bug,Major,Wicket.Focus code utterly breaks AjaxEditableLabel
Bug,Trivial,DropDownChoice  empty Model wrong default encoding of special chars
Bug,Major,Using Borders with Markup Inheritance causes component resolution failures
Improvement,Minor,Handle / servlet mapping or fail consistenly
Improvement,Major,Be able to add string arrays to configuration of DatePicker
Bug,Major,Ajax requests don't detach component models
Bug,Major,NullPointerException in MarkupFragmentFinder.find()
Improvement,Minor,improved reporting on locked page maps
Bug,Major,mvn jetty:run; maven-jetty-plugin not configured
Bug,Major,Add global override to disable gzip compression (SAP double-compresses).
Bug,Critical,Feedback is not cleaned up upon AJAX-requests
Improvement,Major,Investigate whether we can use component meta data for the storage of feedback messages
Bug,Critical,JavaScript comment stripping doesn't handle regexps
Improvement,Major,Change name of IFormProcessingListener
Bug,Major,ModalWindow does not function under Opera
Improvement,Trivial,Better error message for problematic configuration
Improvement,Major,HeaderContributions are missing if  is a Component.
Bug,Major,Use WebRequestEncoder everywhere a query string is constructed
Bug,Critical,LocalizedImageResource escapes ampersands twice (regression)
